provider,alias,provider_id,team_id,season_from,season_to
vsin,c-conn-st,,,,
vsin,campbell-fighting,,,,
vsin,colgate,,,,
vsin,e-tennessee-st,,,,
vsin,fordham,,,,
vsin,gardner-webb,,,,
vsin,holy-cross,,,,
vsin,howard,,,,
vsin,lindenwood,,,,
vsin,mercyhurst,,,,
vsin,monmouth,,,,
vsin,montana-st,,,,
vsin,n-colorado,,,,
vsin,norfolk-st,,,,
vsin,prairie-view-a-and-m,,,,
vsin,richmond,,,,
vsin,robert-morris,,,,
vsin,s-utah,,,,
vsin,sacred-heart,,,,
vsin,southern-u,,,,
vsin,stony-brook,,,,
vsin,towson,,,,
vsin,uc-davis,,,,
vsin,villanova,,,,
vsin,w-carolina,,,,
vsin,w-illinois,,,,
vsin,wagner,,,,
vsin,weber-st,,,,
vsin,wofford,,,,
