game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_CFB_W05_WKU_NMSU,2026-09-17T11:07:57.779659+00:00,2026-10-02T00:00:00+00:00,348.9,False,False,open_meteo,65.5,58.5,17.7,21.7,108.0,0.06,0.0,61.0,2.0
2026_CFB_W05_UNT_TLSA,2026-09-17T11:07:57.780173+00:00,2026-10-02T01:00:00+00:00,349.9,False,False,open_meteo,65.8,58.3,12.4,22.1,8.0,0.1,0.0,40.0,3.0
2026_CFB_W05_WKU_NMSU,2026-09-17T17:05:13.280102+00:00,2026-10-02T00:00:00+00:00,342.9,False,False,open_meteo,82.7,81.6,6.7,5.6,143.0,0.03,0.0,39.0,3.0
2026_CFB_W05_UNT_TLSA,2026-09-17T17:05:13.280571+00:00,2026-10-02T01:00:00+00:00,343.9,False,False,open_meteo,64.0,60.8,15.7,27.7,6.0,0.11,0.004,87.0,51.0
2026_CFB_W05_WKU_NMSU,2026-09-17T20:03:40.833851+00:00,2026-10-02T00:00:00+00:00,339.9,False,False,open_meteo,82.7,83.3,3.7,3.1,166.0,0.03,0.0,41.0,0.0
2026_CFB_W05_UNT_TLSA,2026-09-17T20:03:40.834085+00:00,2026-10-02T01:00:00+00:00,340.9,False,False,open_meteo,68.3,69.4,7.7,16.3,10.0,0.1,0.0,82.0,2.0
2026_CFB_W05_WKU_NMSU,2026-09-17T23:04:43.752851+00:00,2026-10-02T00:00:00+00:00,336.9,False,False,open_meteo,82.7,83.3,3.7,3.1,166.0,0.03,0.0,41.0,0.0
2026_CFB_W05_UNT_TLSA,2026-09-17T23:04:43.753179+00:00,2026-10-02T01:00:00+00:00,337.9,False,False,open_meteo,68.3,69.4,7.7,16.3,10.0,0.1,0.0,82.0,2.0
2026_CFB_W05_LIB_DEL,2026-09-17T23:04:43.753516+00:00,2026-10-02T23:00:00+00:00,359.9,False,False,open_meteo,67.4,72.5,2.2,3.8,24.0,0.09,0.008,96.0,51.0
2026_CFB_W05_PITT_VT,2026-09-17T23:04:44.531468+00:00,2026-10-02T23:00:00+00:00,359.9,False,False,open_meteo,67.3,68.5,6.9,20.1,331.0,0.06,0.0,82.0,3.0
2026_CFB_W05_WKU_NMSU,2026-09-18T11:07:20.444396+00:00,2026-10-02T00:00:00+00:00,324.9,False,False,open_meteo,82.2,77.8,9.6,12.3,233.0,0.13,0.0,31.0,0.0
2026_CFB_W05_UNT_TLSA,2026-09-18T11:07:20.444836+00:00,2026-10-02T01:00:00+00:00,325.9,False,False,open_meteo,68.8,70.4,6.9,16.8,77.0,0.07,0.0,81.0,3.0
2026_CFB_W05_LIB_DEL,2026-09-18T11:07:20.445260+00:00,2026-10-02T23:00:00+00:00,347.9,False,False,open_meteo,61.8,61.6,3.0,4.7,42.0,0.1,0.0,74.0,3.0
2026_CFB_W05_PITT_VT,2026-09-18T11:07:21.347544+00:00,2026-10-02T23:00:00+00:00,347.9,False,False,open_meteo,55.3,55.4,3.2,9.2,45.0,0.23,0.004,98.0,51.0
2026_CFB_W05_PSU_NU,2026-09-18T11:07:22.254274+00:00,2026-10-03T00:00:00+00:00,348.9,False,False,open_meteo,63.0,59.4,14.7,23.5,17.0,0.13,0.0,83.0,2.0
2026_CFB_W05_MIA_CLEM,2026-09-18T11:07:22.254831+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,62.5,62.9,6.2,21.0,60.0,0.2,0.0,88.0,3.0
2026_CFB_W05_ODU_GAST,2026-09-18T11:07:22.255264+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,62.2,63.2,5.5,18.6,55.0,0.19,0.0,92.0,3.0
2026_CFB_W05_AKR_CMU,2026-09-18T11:07:22.255671+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,52.5,50.2,6.9,18.6,29.0,0.12,0.0,98.0,0.0
2026_CFB_W05_FLA_MIZ,2026-09-18T11:07:22.256091+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,57.9,55.7,9.2,24.2,32.0,0.13,0.0,91.0,1.0
2026_CFB_W05_CIN_ARIZ,2026-09-18T11:07:22.256477+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,86.0,80.2,8.3,9.2,301.0,0.15,0.0,20.0,3.0
2026_CFB_W05_ALA_MSST,2026-09-18T11:07:22.256901+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,63.1,65.1,3.6,3.4,60.0,0.26,0.0,91.0,3.0
2026_CFB_W05_VAN_UGA,2026-09-18T11:07:22.257289+00:00,2026-10-03T04:00:00+00:00,352.9,False,False,open_meteo,61.1,62.1,6.0,21.3,45.0,0.12,0.0,97.0,3.0
