game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code,is_actual
2021_NFL_W06_TB_PHI,2026-09-07T05:45:32.769626+00:00,2021-10-15T00:20:00+00:00,-42917.4,False,False,open_meteo_archive,66.7,67.7,4.7,6.9,305.0,,0.0,76.0,0.0,True
2021_NFL_W06_MIA_JAX,2026-09-07T05:45:33.012154+00:00,2021-10-17T13:30:00+00:00,-42856.3,False,False,open_meteo_archive,59.5,57.1,9.7,18.1,193.0,,0.0,86.0,3.0,True
2021_NFL_W06_LAC_BAL,2026-09-07T05:45:33.256409+00:00,2021-10-17T17:00:00+00:00,-42852.8,False,False,open_meteo_archive,61.0,52.8,14.7,27.3,303.0,,0.0,49.0,1.0,True
2021_NFL_W06_MIN_CAR,2026-09-07T05:45:33.496909+00:00,2021-10-17T17:00:00+00:00,-42852.8,False,False,open_meteo_archive,63.5,59.1,7.6,17.9,313.0,,0.0,37.0,0.0,True
2021_NFL_W06_GB_CHI,2026-09-07T05:45:33.737664+00:00,2021-10-17T17:00:00+00:00,-42852.8,False,False,open_meteo_archive,61.6,55.8,9.8,15.9,281.0,,0.0,47.0,0.0,True
2021_NFL_W06_CIN_DET,2026-09-07T05:45:33.738031+00:00,2021-10-17T17:00:00+00:00,-42852.8,True,False,open_meteo_archive,,,,,,,,,,True
2021_NFL_W06_HOU_IND,2026-09-07T05:45:33.981991+00:00,2021-10-17T17:00:00+00:00,-42852.8,False,True,open_meteo_archive,60.3,55.2,9.5,19.7,277.0,,0.0,51.0,0.0,True
2021_NFL_W06_LAR_NYG,2026-09-07T05:45:34.247101+00:00,2021-10-17T17:00:00+00:00,-42852.8,False,False,open_meteo_archive,62.8,55.9,12.9,26.2,296.0,,0.0,48.0,0.0,True
2021_NFL_W06_KC_WAS,2026-09-07T05:45:34.489607+00:00,2021-10-17T17:00:00+00:00,-42852.8,False,False,open_meteo_archive,61.4,53.1,14.2,33.8,303.0,,0.0,46.0,3.0,True
2021_NFL_W06_ARI_CLE,2026-09-07T05:45:34.732954+00:00,2021-10-17T20:05:00+00:00,-42849.7,False,False,open_meteo_archive,57.1,48.1,15.5,27.1,284.0,,0.0,52.0,1.0,True
2021_NFL_W06_LV_DEN,2026-09-07T05:45:34.977121+00:00,2021-10-17T20:25:00+00:00,-42849.3,False,False,open_meteo_archive,70.7,64.8,5.4,13.2,38.0,,0.0,16.0,0.0,True
2021_NFL_W06_DAL_NE,2026-09-07T05:45:35.221708+00:00,2021-10-17T20:25:00+00:00,-42849.3,False,False,open_meteo_archive,61.7,54.9,10.9,26.6,284.0,,0.0,47.0,2.0,True
2021_NFL_W06_SEA_PIT,2026-09-07T05:45:35.468130+00:00,2021-10-18T00:20:00+00:00,-42845.4,False,False,open_meteo_archive,50.8,46.0,6.0,16.6,283.0,,0.0,68.0,0.0,True
2021_NFL_W06_BUF_TEN,2026-09-07T05:45:35.711845+00:00,2021-10-19T00:15:00+00:00,-42821.5,False,False,open_meteo_archive,63.6,62.3,3.1,4.9,69.0,,0.0,61.0,0.0,True
