split_id,game_id,week,retrieved_at,book,period,spread_ticket_pct_home,spread_money_pct_home,total_ticket_pct_home,total_money_pct_home,moneyline_ticket_pct_home,moneyline_money_pct_home,line_spread_home,line_total,source
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T00:25:28.852621+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T00:25:28.852621+00:00,draftkings,FULL,0.45,0.21,0.86,0.24,0.76,0.99,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T02:34:28.583063+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T02:34:28.583063+00:00,draftkings,FULL,0.45,0.21,0.86,0.24,0.76,0.95,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T04:19:47.016218+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T04:19:47.016218+00:00,draftkings,FULL,0.45,0.21,0.86,0.24,0.76,0.95,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T08:21:22.624303+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T08:21:22.624303+00:00,draftkings,FULL,0.42,0.21,0.86,0.24,0.77,0.95,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T12:27:08.067397+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T12:27:08.067397+00:00,draftkings,FULL,0.38,0.21,0.86,0.24,0.76,0.95,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T14:08:32.153012+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T14:08:32.153012+00:00,draftkings,FULL,0.37,0.21,0.87,0.24,0.76,0.96,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T14:49:03.093688+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T14:49:03.093688+00:00,draftkings,FULL,0.36,0.21,0.87,0.24,0.76,0.96,-7.5,49.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T15:47:11.192458+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T15:47:11.192458+00:00,draftkings,FULL,0.37,0.2,0.87,0.24,0.76,0.96,-7.0,50.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T16:19:19.116837+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T16:19:19.116837+00:00,draftkings,FULL,0.38,0.2,0.87,0.24,,0.96,-7.0,50.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T16:46:33.744199+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T16:46:33.744199+00:00,draftkings,FULL,0.39,0.23,0.87,0.24,0.75,0.42,-7.0,50.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T17:45:44.486145+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T17:45:44.486145+00:00,draftkings,FULL,0.39,0.23,0.87,0.24,0.73,0.4,-7.0,50.5,vsin_dk
2026_CFB_W07_UNM_HAW_FULL_draftkings_2026-09-10T18:44:21.487561+00:00,2026_CFB_W07_UNM_HAW,7,2026-09-10T18:44:21.487561+00:00,draftkings,FULL,,,0.87,0.24,0.67,0.29,-7.0,50.5,vsin_dk
