analysis_id,game_id,league,season,week,inputs_hash,llm_model,validation_failed,violations,tokens_in,tokens_out,generated_at
2026_NFL_W01_NE_SEA_c2a4ebf412c9a4ca,2026_NFL_W01_NE_SEA,NFL,2026,1,c2a4ebf412c9a4ca,claude-sonnet-4-6,False,,10934,1966,2026-09-07T16:48:44.947962+00:00
2026_NFL_W01_SF_LAR_96c702aa8eb5d393,2026_NFL_W01_SF_LAR,NFL,2026,1,96c702aa8eb5d393,claude-sonnet-4-6,True,<unparseable JSON>,10879,2000,2026-09-07T16:50:19.624183+00:00
2026_NFL_W01_CHI_CAR_61683cdc2fdc500e,2026_NFL_W01_CHI_CAR,NFL,2026,1,61683cdc2fdc500e,claude-sonnet-4-6,True,"229,431",10974,1990,2026-09-07T16:52:02.428386+00:00
2026_NFL_W01_NE_SEA_25638736c94ddf9c,2026_NFL_W01_NE_SEA,NFL,2026,1,25638736c94ddf9c,claude-sonnet-4-6,True,<unparseable JSON>,10926,1967,2026-09-08T02:32:05.922362+00:00
2026_NFL_W01_SF_LAR_16c77bda614012ee,2026_NFL_W01_SF_LAR,NFL,2026,1,16c77bda614012ee,claude-sonnet-4-6,True,<unparseable JSON>,10877,2000,2026-09-08T02:33:40.893093+00:00
2026_NFL_W01_CHI_CAR_c2aa6ae8c76a201a,2026_NFL_W01_CHI_CAR,NFL,2026,1,c2aa6ae8c76a201a,claude-sonnet-4-6,True,<unparseable JSON>,10968,2000,2026-09-08T02:35:26.226897+00:00
2026_NFL_W01_TB_CIN_a2e08ae38b5fdd5b,2026_NFL_W01_TB_CIN,NFL,2026,1,a2e08ae38b5fdd5b,claude-sonnet-4-6,True,<unparseable JSON>,10923,2000,2026-09-08T02:37:04.133094+00:00
2026_NFL_W01_NO_DET_7034b69e3643bed0,2026_NFL_W01_NO_DET,NFL,2026,1,7034b69e3643bed0,claude-sonnet-4-6,True,<unparseable JSON>,10836,2000,2026-09-08T02:38:46.414154+00:00
2026_NFL_W01_NE_SEA_ecd08a192dee9bff,2026_NFL_W01_NE_SEA,NFL,2026,1,ecd08a192dee9bff,claude-sonnet-4-6,False,,11467,2189,2026-09-08T17:34:14.527655+00:00
2026_NFL_W01_TB_CIN_ef1631fc418019a9,2026_NFL_W01_TB_CIN,NFL,2026,1,ef1631fc418019a9,claude-sonnet-4-6,False,,11458,2179,2026-09-08T17:35:06.751480+00:00
2026_NFL_W01_NO_DET_c6ef5a29f23b4c66,2026_NFL_W01_NO_DET,NFL,2026,1,c6ef5a29f23b4c66,claude-sonnet-4-6,False,,11408,2026,2026-09-08T17:35:07.718330+00:00
2026_NFL_W01_SF_LAR_030ce5b2429c489b,2026_NFL_W01_SF_LAR,NFL,2026,1,030ce5b2429c489b,claude-sonnet-4-6,False,,11397,2356,2026-09-08T17:35:08.346475+00:00
2026_NFL_W01_BUF_HOU_12ce97cedf4d13f1,2026_NFL_W01_BUF_HOU,NFL,2026,1,12ce97cedf4d13f1,claude-sonnet-4-6,False,,11559,2024,2026-09-08T17:35:57.094189+00:00
2026_NFL_W01_CHI_CAR_ceb5775919599cf1,2026_NFL_W01_CHI_CAR,NFL,2026,1,ceb5775919599cf1,claude-sonnet-4-6,False,,11545,2062,2026-09-08T17:35:58.732630+00:00
2026_NFL_W01_BAL_IND_5c0dc13cc7c30185,2026_NFL_W01_BAL_IND,NFL,2026,1,5c0dc13cc7c30185,claude-sonnet-4-6,False,,11465,2026,2026-09-08T17:35:59.139301+00:00
2026_NFL_W01_CLE_JAX_59c09df9b2b058fc,2026_NFL_W01_CLE_JAX,NFL,2026,1,59c09df9b2b058fc,claude-sonnet-4-6,False,,11554,2162,2026-09-08T17:36:01.098982+00:00
2026_NFL_W01_ATL_PIT_b6e490941fea4fec,2026_NFL_W01_ATL_PIT,NFL,2026,1,b6e490941fea4fec,claude-sonnet-4-6,False,,11457,2022,2026-09-08T17:36:46.648806+00:00
2026_NFL_W01_MIA_LV_48a5b4d60bc3aefb,2026_NFL_W01_MIA_LV,NFL,2026,1,48a5b4d60bc3aefb,claude-sonnet-4-6,False,,11378,2065,2026-09-08T17:36:53.957103+00:00
2026_NFL_W01_NYJ_TEN_6385e2d908f5a25e,2026_NFL_W01_NYJ_TEN,NFL,2026,1,6385e2d908f5a25e,claude-sonnet-4-6,False,,11517,2094,2026-09-08T17:36:54.758935+00:00
2026_NFL_W01_ARI_LAC_cdd088f4934b8abb,2026_NFL_W01_ARI_LAC,NFL,2026,1,cdd088f4934b8abb,claude-sonnet-4-6,False,,11436,2401,2026-09-08T17:36:55.225918+00:00
2026_NFL_W01_GB_MIN_c24032100357abbd,2026_NFL_W01_GB_MIN,NFL,2026,1,c24032100357abbd,claude-sonnet-4-6,False,,11355,2278,2026-09-08T17:37:43.305526+00:00
2026_NFL_W01_DEN_KC_7357b106ab2d3309,2026_NFL_W01_DEN_KC,NFL,2026,1,7357b106ab2d3309,claude-sonnet-4-6,False,,11532,2120,2026-09-08T17:37:46.001887+00:00
2026_NFL_W01_WAS_PHI_2033026d7b6db086,2026_NFL_W01_WAS_PHI,NFL,2026,1,2033026d7b6db086,claude-sonnet-4-6,False,,11507,2084,2026-09-08T17:37:47.475612+00:00
2026_NFL_W01_DAL_NYG_8e2122edc7fb8693,2026_NFL_W01_DAL_NYG,NFL,2026,1,8e2122edc7fb8693,claude-sonnet-4-6,False,,11552,2230,2026-09-08T17:37:50.474802+00:00
2026_NFL_W02_DET_BUF_e68f79a588f8e7fd,2026_NFL_W02_DET_BUF,NFL,2026,2,e68f79a588f8e7fd,claude-sonnet-4-6,False,,11202,2058,2026-09-08T17:38:38.667402+00:00
2026_NFL_W02_NO_BAL_836171f80b52fe72,2026_NFL_W02_NO_BAL,NFL,2026,2,836171f80b52fe72,claude-sonnet-4-6,False,,11184,2225,2026-09-08T17:38:41.361795+00:00
2026_NFL_W02_MIN_CHI_f4feb504053e85ab,2026_NFL_W02_MIN_CHI,NFL,2026,2,f4feb504053e85ab,claude-sonnet-4-6,False,,11235,2146,2026-09-08T17:38:43.232821+00:00
2026_NFL_W02_CAR_ATL_9dbb9794da666894,2026_NFL_W02_CAR_ATL,NFL,2026,2,9dbb9794da666894,claude-sonnet-4-6,True,,11261,1945,2026-09-08T17:39:27.561405+00:00
2026_NFL_W02_CIN_HOU_63760cd557a19fe9,2026_NFL_W02_CIN_HOU,NFL,2026,2,63760cd557a19fe9,claude-sonnet-4-6,False,,11223,1963,2026-09-08T17:40:26.636364+00:00
2026_NFL_W02_PIT_NE_8e9eb7adfe2ff5f4,2026_NFL_W02_PIT_NE,NFL,2026,2,8e9eb7adfe2ff5f4,claude-sonnet-4-6,True,,11337,2143,2026-09-08T17:40:28.495603+00:00
2026_NFL_W02_GB_NYJ_aaeda261f8342465,2026_NFL_W02_GB_NYJ,NFL,2026,2,aaeda261f8342465,claude-sonnet-4-6,True,75.85%,11263,2008,2026-09-08T17:40:31.826850+00:00
2026_NFL_W02_CLE_TB_f0469af31cdf6798,2026_NFL_W02_CLE_TB,NFL,2026,2,f0469af31cdf6798,claude-sonnet-4-6,True,2.25,11279,2217,2026-09-08T17:41:18.780976+00:00
2026_NFL_W02_LV_LAC_c4b4bec82db63f71,2026_NFL_W02_LV_LAC,NFL,2026,2,c4b4bec82db63f71,claude-sonnet-4-6,False,,11156,2191,2026-09-08T17:41:25.206976+00:00
2026_NFL_W02_JAX_DEN_aae298f61062ed9e,2026_NFL_W02_JAX_DEN,NFL,2026,2,aae298f61062ed9e,claude-sonnet-4-6,False,,11208,2100,2026-09-08T17:41:25.306863+00:00
2026_NFL_W02_PHI_TEN_3157014dfaf3f47d,2026_NFL_W02_PHI_TEN,NFL,2026,2,3157014dfaf3f47d,claude-sonnet-4-6,True,,11275,1895,2026-09-08T17:42:07.672761+00:00
2026_NFL_W02_SEA_ARI_8bb2572990b815e5,2026_NFL_W02_SEA_ARI,NFL,2026,2,8bb2572990b815e5,claude-sonnet-4-6,False,,11243,2012,2026-09-08T17:42:08.834365+00:00
2026_NFL_W02_NYG_LAR_7065ec9d01ff2cbb,2026_NFL_W02_NYG_LAR,NFL,2026,2,7065ec9d01ff2cbb,claude-sonnet-4-6,False,,11183,2169,2026-09-08T17:43:01.994289+00:00
2026_NFL_W02_WAS_DAL_cc26f94b2dac51d3,2026_NFL_W02_WAS_DAL,NFL,2026,2,cc26f94b2dac51d3,claude-sonnet-4-6,True,<unparseable JSON>,11325,1891,2026-09-08T17:43:06.382974+00:00
2026_NFL_W02_MIA_SF_568aabf48b98038e,2026_NFL_W02_MIA_SF,NFL,2026,2,568aabf48b98038e,claude-sonnet-4-6,True,"1.79,3.45",11330,2015,2026-09-08T17:43:09.304481+00:00
2026_NFL_W02_IND_KC_029cdf24506f0421,2026_NFL_W02_IND_KC,NFL,2026,2,029cdf24506f0421,claude-sonnet-4-6,True,16.8,11269,2015,2026-09-08T17:43:52.738926+00:00
