prediction_id,game_id,model_version,predicted_at,is_pregame_final,is_backtest,as_of_ts,proj_away_pts,proj_home_pts,proj_margin_home,proj_total,win_prob_home,margin_sd,market_spread_home,market_total,spread_diff,total_diff,qb_home_id,qb_away_id,data_quality,quality_flags,contributions,inputs_hash,baseline_ratings_margin,baseline_hfa_margin,train_seasons,in_sample_warning,season,week,margin_home,total,home_field,close_spread_home,close_total,margin_error,abs_margin_error,total_error,abs_total_error,winner_correct,favorite_side,market_margin,market_abs_error,market_winner_correct,model_side_home,model_ats_result,model_ou_side_over,model_ou_result,edge_vs_market,baseline_ratings_abs_error,baseline_hfa_abs_error,win_prob_bin,home_won
2021_CFB_W01_AKR_AUB_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_AKR_AUB,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 23:00:00+00:00,20.47,33.43,12.97,53.9,0.8021,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 8.32}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,50.0,70.0,1.0,-37.0,56.0,-37.03,37.03,-16.1,16.1,1.0,HOME,37.0,13.0,1.0,False,LOSS,False,LOSS,24.03,45.312864101064356,45.22819401176603,8,True
2021_CFB_W01_ALA_MIA_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_ALA_MIA,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 19:30:00+00:00,27.37,27.68,0.31,55.05,0.5079,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""home_field"", ""points"": -2.5}, {""category"": ""TALENT"", ""points"": -1.76}]",,1.424230854571808,-1.0688328858790435,"2022,2023,2024,2025",True,2021,1,-31.0,57.0,0.0,19.5,61.5,31.31,31.31,-1.9500000000000028,1.9500000000000028,0.0,AWAY,-19.5,11.5,1.0,True,LOSS,False,WIN,19.81,32.42423085457181,29.931167114120957,5,False
2021_CFB_W01_ARMY_GAST_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_ARMY_GAST,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 16:00:00+00:00,24.6,29.32,4.72,53.93,0.6244,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""home_field"", ""points"": 0.08}, {""category"": ""TALENT"", ""points"": 0.07}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-33.0,53.0,1.0,-2.5,50.0,37.72,37.72,0.9299999999999997,0.9299999999999997,0.0,HOME,2.5,35.5,0.0,True,LOSS,True,WIN,2.2199999999999998,37.687135898935644,37.77180598823397,6,False
2021_CFB_W01_BAY_TXST_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_BAY_TXST,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 23:00:00+00:00,29.37,24.11,-5.26,53.48,0.3614,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": -9.9}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,-9.0,49.0,1.0,13.5,52.5,3.74,3.74,4.479999999999997,4.479999999999997,1.0,AWAY,-13.5,4.5,1.0,True,WIN,True,LOSS,8.24,13.68713589893564,13.771805988233972,3,False
2021_CFB_W01_BGSU_TENN_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_BGSU_TENN,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-03 00:00:00+00:00,20.27,33.04,12.76,53.31,0.7985,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 8.11}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,32.0,44.0,1.0,-37.0,60.5,-19.240000000000002,19.240000000000002,9.310000000000002,9.310000000000002,1.0,HOME,37.0,5.0,1.0,False,WIN,False,WIN,24.240000000000002,27.31286410106436,27.22819401176603,7,True
2021_CFB_W01_BOIS_UCF_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_BOIS_UCF,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-02 23:00:00+00:00,23.99,29.52,5.53,53.51,0.6448,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 0.89}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,5.0,67.0,1.0,-6.5,67.0,0.5300000000000002,0.5300000000000002,-13.490000000000002,13.490000000000002,1.0,HOME,6.5,1.5,1.0,False,WIN,False,PUSH,0.9699999999999998,0.3128641010643589,0.22819401176602838,6,True
2021_CFB_W01_BYU_ARIZ_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_BYU_ARIZ,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-05 02:30:00+00:00,27.02,28.03,1.02,55.05,0.5271,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""home_field"", ""points"": -2.5}, {""category"": ""TALENT"", ""points"": -1.05}]",,1.424230854571808,-1.0688328858790435,"2022,2023,2024,2025",True,2021,1,-8.0,40.0,0.0,13.5,54.0,9.02,9.02,15.049999999999997,15.049999999999997,0.0,AWAY,-13.5,5.5,1.0,True,WIN,True,LOSS,14.52,9.424230854571809,6.9311671141209565,5,False
2021_CFB_W01_CMU_MIZ_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_CMU_MIZ,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-04 20:00:00+00:00,21.85,31.86,10.01,53.71,0.7465,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 5.37}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,10.0,58.0,1.0,-14.0,59.0,0.009999999999999787,0.009999999999999787,-4.289999999999999,4.289999999999999,1.0,HOME,14.0,4.0,1.0,False,WIN,False,WIN,3.99,5.312864101064359,5.228194011766028,7,True
2021_CFB_W01_CONN_FRES_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_CONN_FRES,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-08-28 18:00:00+00:00,22.87,30.94,8.08,53.81,0.705,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": 3.43}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,45.0,45.0,1.0,-27.5,63.5,-36.92,36.92,8.810000000000002,8.810000000000002,1.0,HOME,27.5,17.5,1.0,False,LOSS,False,WIN,19.42,40.312864101064356,40.22819401176603,7,True
2021_CFB_W01_DUKE_CLT_CFB_v1.0_2026-09-10T18:46:45.081682+00:00,2021_CFB_W01_DUKE_CLT,CFB_v1.0,2026-09-10T18:46:45.081682+00:00,False,True,2021-09-03 23:00:00+00:00,26.98,26.71,-0.27,53.69,0.4924,15.8,,,,,,,0.154,FEATURES_IMPUTED,"[{""category"": ""TALENT"", ""points"": -4.92}, {""category"": ""home_field"", ""points"": 0.08}]",,4.687135898935641,4.771805988233972,"2022,2023,2024,2025",True,2021,1,3.0,59.0,1.0,6.5,60.5,-3.27,3.27,-5.310000000000002,5.310000000000002,0.0,AWAY,-6.5,9.5,0.0,True,WIN,False,WIN,6.23,1.687135898935641,1.7718059882339716,4,True
