prediction_id,game_id,model_version,league,season,week,is_backtest,actual_margin_home,actual_total,margin_error,abs_margin_error,total_error,abs_total_error,away_pts_abs_err,home_pts_abs_err,winner_correct,favorite_side,favorite_correct,model_ats_result,model_ou_result,clv_spread,win_prob_bin,evaluated_at
2026_CFB_W01_SMU_FSU_CFB_v1.0_2026-09-07T12:30:57.868270+00:00,2026_CFB_W01_SMU_FSU,CFB_v1.0,CFB,2026,1,False,-3,51,5.09,5.09,3.35,3.35,0.87,4.22,False,AWAY,True,PUSH,WIN,,5,2026-09-08T10:44:23.595750+00:00
2026_CFB_W02_RUTG_BC_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_RUTG_BC,CFB_v1.0,CFB,2026,2,False,7,49,-9.78,9.78,8.85,8.85,9.31,0.46,False,HOME,True,LOSS,LOSS,,4,2026-09-12T10:40:49.891538+00:00
2026_CFB_W02_MIZ_KU_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_MIZ_KU,CFB_v1.0,CFB,2026,2,False,-17,59,12.46,12.46,-5.14,5.14,8.8,3.66,True,AWAY,True,WIN,WIN,,3,2026-09-12T10:40:49.893537+00:00
2026_CFB_W02_PSU_TEM_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_PSU_TEM,CFB_v1.0,CFB,2026,2,False,-18,36,-5.21,5.21,16.57,16.57,10.89,5.68,True,AWAY,True,WIN,LOSS,,0,2026-09-13T10:42:36.168719+00:00
2026_CFB_W02_ASU_TAM_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_ASU_TAM,CFB_v1.0,CFB,2026,2,False,28,68,-13.56,13.56,-13.15,13.15,0.21,13.36,True,HOME,True,LOSS,WIN,,8,2026-09-13T10:42:36.171226+00:00
2026_CFB_W02_WAKE_PUR_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_WAKE_PUR,CFB_v1.0,CFB,2026,2,False,-2,74,-5.69,5.69,-22.69,22.69,8.5,14.19,True,AWAY,True,LOSS,LOSS,,3,2026-09-13T10:42:36.174608+00:00
2026_CFB_W02_USF_ARMY_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_USF_ARMY,CFB_v1.0,CFB,2026,2,False,-4,52,-5.04,5.04,2.56,2.56,3.8,1.24,True,HOME,False,WIN,WIN,,2,2026-09-13T10:42:36.176354+00:00
2026_CFB_W02_OU_MICH_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_OU_MICH,CFB_v1.0,CFB,2026,2,False,7,27,-7.65,7.65,16.09,16.09,11.87,4.22,False,AWAY,False,WIN,WIN,,4,2026-09-13T10:42:36.178367+00:00
2026_CFB_W02_ORE_OKST_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_ORE_OKST,CFB_v1.0,CFB,2026,2,False,8,70,-38.65,38.65,-19.35,19.35,9.65,29.0,False,AWAY,False,LOSS,LOSS,,0,2026-09-13T10:42:36.180653+00:00
2026_CFB_W02_WSU_KSU_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_WSU_KSU,CFB_v1.0,CFB,2026,2,False,27,41,-11.99,11.99,8.81,8.81,10.4,1.59,True,HOME,True,LOSS,LOSS,,8,2026-09-13T10:42:36.182246+00:00
2026_CFB_W02_ODU_VT_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_ODU_VT,CFB_v1.0,CFB,2026,2,False,23,65,-10.57,10.57,-12.25,12.25,0.84,11.41,True,HOME,True,LOSS,WIN,,7,2026-09-13T10:42:36.183856+00:00
2026_CFB_W02_APP_ECU_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_APP_ECU,CFB_v1.0,CFB,2026,2,False,-3,51,11.8,11.8,3.2,3.2,4.3,7.5,False,HOME,False,LOSS,WIN,,7,2026-09-13T10:42:36.185417+00:00
2026_CFB_W02_WKU_UGA_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_WKU_UGA,CFB_v1.0,CFB,2026,2,False,50,90,-13.46,13.46,-33.46,33.46,10.0,23.46,True,HOME,True,LOSS,WIN,,9,2026-09-13T10:42:36.187705+00:00
2026_CFB_W02_MSST_MINN_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_MSST_MINN,CFB_v1.0,CFB,2026,2,False,-25,51,24.21,24.21,2.73,2.73,10.74,13.47,True,AWAY,True,LOSS,LOSS,,4,2026-09-13T10:42:36.191935+00:00
2026_CFB_W02_ULM_UAB_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_ULM_UAB,CFB_v1.0,CFB,2026,2,False,6,46,2.2,2.2,10.68,10.68,4.24,6.44,True,HOME,True,WIN,LOSS,,7,2026-09-13T10:42:36.193532+00:00
2026_CFB_W02_MD_CONN_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_MD_CONN,CFB_v1.0,CFB,2026,2,False,-24,52,17.34,17.34,3.41,3.41,6.96,10.38,True,AWAY,True,LOSS,LOSS,,3,2026-09-13T10:42:36.196445+00:00
2026_CFB_W02_CAL_SYR_CFB_v1.0_2026-09-09T12:31:09.658565+00:00,2026_CFB_W02_CAL_SYR,CFB_v1.0,CFB,2026,2,False,-3,39,15.86,15.86,17.18,17.18,0.66,16.52,False,HOME,False,LOSS,WIN,,7,2026-09-13T10:42:36.198079+00:00
2026_CFB_W02_EMU_MSU_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_EMU_MSU,CFB_v1.0,CFB,2026,2,False,28,42,-20.93,20.93,8.89,8.89,14.91,6.02,True,HOME,True,LOSS,LOSS,,6,2026-09-13T10:42:36.199695+00:00
2026_CFB_W02_RICE_ND_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_RICE_ND,CFB_v1.0,CFB,2026,2,False,52,52,-11.96,11.96,8.04,8.04,10.0,1.96,True,HOME,True,LOSS,LOSS,,9,2026-09-13T10:42:36.201366+00:00
2026_CFB_W02_ARIZ_BYU_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_ARIZ_BYU,CFB_v1.0,CFB,2026,2,False,11,45,-2.75,2.75,5.23,5.23,3.99,1.24,True,HOME,True,WIN,LOSS,,7,2026-09-13T10:42:36.203489+00:00
2026_CFB_W02_DUKE_ILL_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_DUKE_ILL,CFB_v1.0,CFB,2026,2,False,-4,58,6.62,6.62,-6.04,6.04,6.33,0.29,False,HOME,False,WIN,WIN,,5,2026-09-13T10:42:36.205969+00:00
2026_CFB_W02_USU_WASH_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_USU_WASH,CFB_v1.0,CFB,2026,2,False,2,30,19.96,19.96,21.63,21.63,0.83,20.79,True,HOME,True,WIN,WIN,,9,2026-09-13T10:42:36.208378+00:00
