pick_id,game_id,league,season,week,market,side,line,price,tier,score,edge_points,signals,result,profit_units,actual_margin_home,actual_total,graded_at
2026_CFB_W02_UL_USC_TOTAL_Under_CFB_v1.0,2026_CFB_W02_UL_USC,CFB,2026,2,TOTAL,Under,58.5,-110.0,A,3.411,3.37,line_agrees,LOSS,-1.0,19,79,2026-09-20T23:51:52.654144+00:00
2026_CFB_W03_ARST_TCU_SPREAD_ARST_CFB_v1.0,2026_CFB_W03_ARST_TCU,CFB,2026,3,SPREAD,ARST,19.5,-110.0,A+,6.13,4.8,"money_agrees,rlm_agrees,key_number",LOSS,-1.0,24,38,2026-09-20T23:51:52.659586+00:00
2026_CFB_W03_PUR_UCLA_MONEYLINE_PUR_CFB_v1.0,2026_CFB_W03_PUR_UCLA,CFB,2026,3,MONEYLINE,PUR,455.0,455.0,A+,4.838,4.7,money_agrees,LOSS,-1.0,14,90,2026-09-20T23:51:52.659922+00:00
2026_CFB_W03_WVU_UVA_MONEYLINE_WVU_CFB_v1.0,2026_CFB_W03_WVU_UVA,CFB,2026,3,MONEYLINE,WVU,310.0,310.0,A+,4.746,4.6,money_agrees,WIN,3.1,-11,65,2026-09-20T23:51:52.660232+00:00
2026_CFB_W03_NDSU_SAC_TOTAL_Under_CFB_v1.0,2026_CFB_W03_NDSU_SAC,CFB,2026,3,TOTAL,Under,51.5,-110.0,A+,4.497,4.33,money_agrees,WIN,0.909,-21,41,2026-09-20T23:51:52.660532+00:00
2026_CFB_W03_LSU_MISS_MONEYLINE_MISS_CFB_v1.0,2026_CFB_W03_LSU_MISS,CFB,2026,3,MONEYLINE,MISS,136.0,136.0,A,3.915,3.7,money_agrees,WIN,1.36,8,56,2026-09-20T23:51:52.660848+00:00
2026_CFB_W03_CCU_DEL_TOTAL_Under_CFB_v1.0,2026_CFB_W03_CCU_DEL,CFB,2026,3,TOTAL,Under,57.5,-110.0,A,3.574,3.33,money_agrees,WIN,0.909,8,36,2026-09-20T23:51:52.661147+00:00
2026_CFB_W03_GASO_JXST_MONEYLINE_GASO_CFB_v1.0,2026_CFB_W03_GASO_JXST,CFB,2026,3,MONEYLINE,GASO,150.0,150.0,B,2.328,1.98,money_agrees,LOSS,-1.0,4,58,2026-09-20T23:51:52.661430+00:00
2026_CFB_W03_USU_UTAH_MONEYLINE_USU_CFB_v1.0,2026_CFB_W03_USU_UTAH,CFB,2026,3,MONEYLINE,USU,2000.0,2000.0,B,1.737,1.34,money_agrees,LOSS,-1.0,33,33,2026-09-20T23:51:52.661708+00:00
2026_CFB_W03_STAN_DUKE_MONEYLINE_STAN_CFB_v1.0,2026_CFB_W03_STAN_DUKE,CFB,2026,3,MONEYLINE,STAN,295.0,295.0,B,1.46,1.04,money_agrees,LOSS,-1.0,28,42,2026-09-20T23:51:52.662014+00:00
