prediction_id,game_id,model_version,flagged_at
2026_CFB_W01_SMU_FSU_CFB_v1.0_2026-09-07T12:30:57.868270+00:00,2026_CFB_W01_SMU_FSU,CFB_v1.0,2026-09-07T23:40:25.414225+00:00
2026_NFL_W01_NE_SEA_NFL_v1.0_2026-09-09T12:31:08.630815+00:00,2026_NFL_W01_NE_SEA,NFL_v1.0,2026-09-10T00:48:05.035116+00:00
2026_NFL_W01_SF_LAR_NFL_v1.0_2026-09-09T12:31:08.630815+00:00,2026_NFL_W01_SF_LAR,NFL_v1.0,2026-09-11T00:46:27.477407+00:00
2026_CFB_W02_RUTG_BC_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_RUTG_BC,CFB_v1.0,2026-09-11T23:40:31.627107+00:00
2026_CFB_W02_MIZ_KU_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_MIZ_KU,CFB_v1.0,2026-09-12T00:46:35.769440+00:00
2026_CFB_W02_PSU_TEM_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_PSU_TEM,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_ASU_TAM_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_ASU_TAM,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_WAKE_PUR_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_WAKE_PUR,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_USF_ARMY_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_USF_ARMY,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_OU_MICH_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_OU_MICH,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_ORE_OKST_CFB_v1.0_2026-09-11T12:29:39.601965+00:00,2026_CFB_W02_ORE_OKST,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_WSU_KSU_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_WSU_KSU,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_ODU_VT_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_ODU_VT,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
2026_CFB_W02_APP_ECU_CFB_v1.0_2026-09-12T12:26:50.441388+00:00,2026_CFB_W02_APP_ECU,CFB_v1.0,2026-09-12T16:41:13.966689+00:00
