provider,day,requests,credits,failures,remaining_reported,last_request_at
nflverse,2026-09-02,7,7,0,,2026-09-02T18:07:33.144340+00:00
nflverse,2026-09-05,26,25,1,,2026-09-05T18:08:01.842273+00:00
cfbd,2026-09-05,203,203,0,,2026-09-05T23:39:32.039745+00:00
odds_api,2026-09-05,2,6,0,473.0,2026-09-05T15:04:17.579837+00:00
nflverse,2026-09-06,25,22,3,,2026-09-06T23:25:54.043801+00:00
cfbd,2026-09-06,294,294,0,,2026-09-06T23:28:07.530857+00:00
odds_api,2026-09-06,7,21,0,449.0,2026-09-06T22:12:38.841155+00:00
open_meteo,2026-09-06,303,303,0,,2026-09-06T23:01:49.333689+00:00
odds_api,2026-09-07,1,3,0,446.0,2026-09-07T00:12:44.648952+00:00
nflverse,2026-09-07,67,66,1,,2026-09-07T11:03:53.366910+00:00
open_meteo,2026-09-07,5640,5640,0,,2026-09-07T11:06:24.492365+00:00
cfbd,2026-09-07,107,107,0,,2026-09-07T11:04:40.307819+00:00
