metric_key,label,description,unit,higher_is_better,side,agg,leagues,primary_source,is_derived,min_valid,max_valid,min_sample_n,group
points_per_game,Points/Game,Average points scored per game.,points,True,OFF,mean,"CFB,NFL",derived,True,0.0,90.0,1,SCORING
points_allowed_per_game,Points Allowed/Game,Average points allowed per game.,points,False,DEF,mean,"CFB,NFL",derived,True,0.0,90.0,1,SCORING
scoring_margin,Scoring Margin,"Points scored minus points allowed, per game.",points,True,OFF,mean,"CFB,NFL",derived,True,-80.0,80.0,1,SCORING
yards_per_play_off,Yards/Play (Off),Offensive yards per scrimmage play.,yards,True,OFF,ratio:total_yards/plays,"CFB,NFL",derived,True,0.0,15.0,1,EFFICIENCY
yards_per_play_def,Yards/Play (Def),Yards allowed per opponent scrimmage play.,yards,False,DEF,ratio:d_total_yards/d_plays,"CFB,NFL",derived,True,0.0,15.0,1,EFFICIENCY
net_yards_per_play,Net Yards/Play,Offensive yards per play minus defensive yards per play allowed.,yards,True,OFF,mean,"CFB,NFL",derived,True,-10.0,10.0,1,EFFICIENCY
rush_yds_per_game,Rush Yds/Game,Rushing yards per game.,yards,True,OFF,mean,"CFB,NFL",derived,True,0.0,500.0,1,RUSHING
opp_rush_yds_per_game,Opp Rush Yds/Game,Rushing yards allowed per game.,yards,False,DEF,mean,"CFB,NFL",derived,True,0.0,500.0,1,RUSHING
yards_per_rush,Yards/Rush,Rushing yards per rushing attempt.,yards,True,OFF,ratio:rush_yds/rush_att,"CFB,NFL",derived,True,-2.0,12.0,1,RUSHING
opp_yards_per_rush,Opp Yards/Rush,Rushing yards allowed per opponent attempt.,yards,False,DEF,ratio:d_rush_yds/d_rush_att,"CFB,NFL",derived,True,-2.0,12.0,1,RUSHING
pass_yds_per_game,Pass Yds/Game,Net passing yards per game.,yards,True,OFF,mean,"CFB,NFL",derived,True,0.0,700.0,1,PASSING
opp_pass_yds_per_game,Opp Pass Yds/Game,Net passing yards allowed per game.,yards,False,DEF,mean,"CFB,NFL",derived,True,0.0,700.0,1,PASSING
yards_per_pass,Yards/Pass Att,Net passing yards per pass attempt.,yards,True,OFF,ratio:pass_yds/pass_att,"CFB,NFL",derived,True,0.0,20.0,1,PASSING
opp_yards_per_pass,Opp Yards/Pass Att,Net passing yards allowed per opponent attempt.,yards,False,DEF,ratio:d_pass_yds/d_pass_att,"CFB,NFL",derived,True,0.0,20.0,1,PASSING
completion_pct,Completion %,Completions divided by attempts.,pct,True,OFF,ratio:pass_cmp/pass_att,"CFB,NFL",derived,True,0.0,1.0,1,PASSING
sack_rate_allowed,Sack Rate Allowed,Sacks taken per dropback.,pct,False,OFF,ratio:sacks_taken/dropbacks,"CFB,NFL",derived,True,0.0,0.3,1,TRENCHES
sack_rate,Sack Rate,Sacks generated per opponent dropback.,pct,True,DEF,ratio:sacks_made/d_dropbacks,"CFB,NFL",derived,True,0.0,0.3,1,TRENCHES
off_pressure_rate_allowed,Pressure Rate Allowed,Opponent pressures per dropback (PFR).,pct,False,OFF,wmean:dropbacks,NFL,nflverse_pfr,False,0.0,0.8,1,TRENCHES
def_pressure_rate,Pressure Rate,Individual defender pressures per opponent dropback (PFR); can exceed play-level rate.,pct,True,DEF,wmean:d_dropbacks,NFL,nflverse_pfr,False,0.0,1.5,1,TRENCHES
off_havoc_allowed,Havoc Allowed,"Share of offensive plays with a TFL, sack, forced fumble, interception or pass breakup against.",pct,False,OFF,wmean:off_plays,"CFB,NFL",cfbd|nflverse,False,0.0,0.5,1,TRENCHES
def_havoc,Havoc Rate,"Share of defensive plays producing a TFL, sack, forced fumble, interception or pass breakup.",pct,True,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,0.0,0.5,1,TRENCHES
def_havoc_front,Front-Seven Havoc,"Havoc plays generated by the front seven, per defensive play.",pct,True,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,0.0,0.4,1,TRENCHES
def_havoc_db,Secondary Havoc,"Havoc plays generated by defensive backs, per defensive play.",pct,True,DEF,wmean:def_plays,"CFB,NFL",cfbd|nflverse,False,0.0,0.4,1,TRENCHES
off_line_yards,Line Yards,Rushing yards credited to the offensive line per rush (Football Outsiders formula).,yards,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|derived,False,0.0,6.0,1,TRENCHES
def_line_yards_allowed,Line Yards Allowed,Line yards allowed per opponent rush.,yards,False,DEF,wmean:def_plays,"CFB,NFL",cfbd|derived,False,0.0,6.0,1,TRENCHES
off_opportunity_rate,Opportunity Rate,Share of rushes gaining at least 4 yards.,pct,True,OFF,wmean:off_plays,"CFB,NFL",derived,True,0.0,1.0,1,TRENCHES
off_stuff_rate_allowed,Stuff Rate Allowed,Share of rushes stopped at or behind the line.,pct,False,OFF,wmean:off_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,1,TRENCHES
def_stuff_rate,Stuff Rate,Share of opponent rushes stopped at or behind the line.,pct,True,DEF,wmean:def_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,1,TRENCHES
off_power_success,Power Success,Conversion rate on 3rd/4th down rushes needing 2 yards or fewer.,pct,True,OFF,wmean:off_plays,"CFB,NFL",cfbd|derived,False,0.0,1.0,3,TRENCHES
third_down_pct_off,3rd Down % (Off),Third-down conversion rate.,pct,True,OFF,ratio:third_down_conv/third_down_att,"CFB,NFL",derived,True,0.0,1.0,1,SITUATIONAL
third_down_pct_def,3rd Down % (Def),Third-down conversion rate allowed.,pct,False,DEF,ratio:d_third_down_conv/d_third_down_att,"CFB,NFL",derived,True,0.0,1.0,1,SITUATIONAL
