provider,alias,provider_id,team_id,season_from,season_to
espn,Arizona Cardinals,,NFL_ARI,,
espn,Atlanta Falcons,,NFL_ATL,,
espn,Baltimore Ravens,,NFL_BAL,,
espn,Buffalo Bills,,NFL_BUF,,
espn,Carolina Panthers,,NFL_CAR,,
espn,Chicago Bears,,NFL_CHI,,
espn,Cincinnati Bengals,,NFL_CIN,,
espn,Cleveland Browns,,NFL_CLE,,
espn,Dallas Cowboys,,NFL_DAL,,
espn,Denver Broncos,,NFL_DEN,,
espn,Detroit Lions,,NFL_DET,,
espn,Green Bay Packers,,NFL_GB,,
espn,Houston Texans,,NFL_HOU,,
espn,Indianapolis Colts,,NFL_IND,,
espn,Jacksonville Jaguars,,NFL_JAX,,
espn,Kansas City Chiefs,,NFL_KC,,
espn,Los Angeles Chargers,,NFL_LAC,,
espn,Los Angeles Rams,,NFL_LAR,,
espn,Las Vegas Raiders,,NFL_LV,,
espn,Miami Dolphins,,NFL_MIA,,
espn,Minnesota Vikings,,NFL_MIN,,
espn,New England Patriots,,NFL_NE,,
espn,New Orleans Saints,,NFL_NO,,
espn,New York Giants,,NFL_NYG,,
espn,New York Jets,,NFL_NYJ,,
espn,Philadelphia Eagles,,NFL_PHI,,
espn,Pittsburgh Steelers,,NFL_PIT,,
espn,Seattle Seahawks,,NFL_SEA,,
espn,San Francisco 49ers,,NFL_SF,,
espn,Tampa Bay Buccaneers,,NFL_TB,,
espn,Tennessee Titans,,NFL_TEN,,
espn,Washington Commanders,,NFL_WAS,,
nflverse,ARI,3800,NFL_ARI,,
nflverse,ATL,200,NFL_ATL,,
nflverse,BAL,325,NFL_BAL,,
nflverse,BUF,610,NFL_BUF,,
nflverse,CAR,750,NFL_CAR,,
nflverse,CHI,810,NFL_CHI,,
nflverse,CIN,920,NFL_CIN,,
nflverse,CLE,1050,NFL_CLE,,
nflverse,DAL,1200,NFL_DAL,,
nflverse,DEN,1400,NFL_DEN,,
nflverse,DET,1540,NFL_DET,,
nflverse,GB,1800,NFL_GB,,
nflverse,HOU,2120,NFL_HOU,,
nflverse,IND,2200,NFL_IND,,
nflverse,JAX,2250,NFL_JAX,,
nflverse,KC,2310,NFL_KC,,
nflverse,LAC,4400,NFL_LAC,,
nflverse,LA,2510,NFL_LAR,,
nflverse,LAR,,NFL_LAR,,
nflverse,LV,2520,NFL_LV,,
nflverse,MIA,2700,NFL_MIA,,
nflverse,MIN,3000,NFL_MIN,,
nflverse,NE,3200,NFL_NE,,
nflverse,NO,3300,NFL_NO,,
nflverse,NYG,3410,NFL_NYG,,
nflverse,NYJ,3430,NFL_NYJ,,
nflverse,PHI,3700,NFL_PHI,,
nflverse,PIT,3900,NFL_PIT,,
nflverse,SEA,4600,NFL_SEA,,
nflverse,SF,4500,NFL_SF,,
nflverse,TB,4900,NFL_TB,,
nflverse,TEN,2100,NFL_TEN,,
nflverse,WAS,5110,NFL_WAS,,
odds_api,Arizona Cardinals,,NFL_ARI,,
odds_api,Atlanta Falcons,,NFL_ATL,,
odds_api,Baltimore Ravens,,NFL_BAL,,
odds_api,Buffalo Bills,,NFL_BUF,,
odds_api,Carolina Panthers,,NFL_CAR,,
odds_api,Chicago Bears,,NFL_CHI,,
odds_api,Cincinnati Bengals,,NFL_CIN,,
odds_api,Cleveland Browns,,NFL_CLE,,
odds_api,Dallas Cowboys,,NFL_DAL,,
odds_api,Denver Broncos,,NFL_DEN,,
odds_api,Detroit Lions,,NFL_DET,,
odds_api,Green Bay Packers,,NFL_GB,,
odds_api,Houston Texans,,NFL_HOU,,
odds_api,Indianapolis Colts,,NFL_IND,,
odds_api,Jacksonville Jaguars,,NFL_JAX,,
odds_api,Kansas City Chiefs,,NFL_KC,,
odds_api,Los Angeles Chargers,,NFL_LAC,,
odds_api,Los Angeles Rams,,NFL_LAR,,
odds_api,Las Vegas Raiders,,NFL_LV,,
odds_api,Miami Dolphins,,NFL_MIA,,
odds_api,Minnesota Vikings,,NFL_MIN,,
odds_api,New England Patriots,,NFL_NE,,
odds_api,New Orleans Saints,,NFL_NO,,
odds_api,New York Giants,,NFL_NYG,,
odds_api,New York Jets,,NFL_NYJ,,
odds_api,Philadelphia Eagles,,NFL_PHI,,
odds_api,Pittsburgh Steelers,,NFL_PIT,,
odds_api,Seattle Seahawks,,NFL_SEA,,
odds_api,San Francisco 49ers,,NFL_SF,,
odds_api,Tampa Bay Buccaneers,,NFL_TB,,
odds_api,Tennessee Titans,,NFL_TEN,,
odds_api,Washington Commanders,,NFL_WAS,,
