game_id,away_score,home_score,margin_home,total,went_overtime,q_scores,attendance,source,retrieved_at,effective_at
2025_CFB_W01_ISU_KSU,24,21,-3,45,,,47221.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-23T16:00:00.000Z
2025_CFB_W01_FCS304_UNLV,31,38,7,69,,,25723.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-23T20:00:00.000Z
2025_CFB_W01_FRES_KU,7,31,24,38,,,41525.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-23T22:30:00.000Z
2025_CFB_W01_SHSU_WKU,24,41,17,65,,,15312.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-23T23:00:00.000Z
2025_CFB_W01_STAN_HAW,20,23,3,43,,,15194.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-23T23:30:00.000Z
2025_CFB_W01_BOIS_USF,7,34,27,41,,,34707.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T21:30:00.000Z
2025_CFB_W01_OHIO_RUTG,31,34,3,65,,,46907.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T22:00:00.000Z
2025_CFB_W01_FCS322_BGSU,7,26,19,33,,,19328.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T22:00:00.000Z
2025_CFB_W01_FCS2598_ULM,0,29,29,29,,,12459.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:00:00.000Z
2025_CFB_W01_WYO_AKR,10,0,-10,10,,,9138.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:00:00.000Z
2025_CFB_W01_FCS2169_DEL,17,35,18,52,,,17895.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:00:00.000Z
2025_CFB_W01_JXST_UCF,10,17,7,27,,,43043.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:00:00.000Z
2025_CFB_W01_ECU_NCSU,17,24,7,41,,,56919.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:00:00.000Z
2025_CFB_W01_FCS2110_MIZ,6,61,55,67,,,57321.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:30:00.000Z
2025_CFB_W01_FCS2630_OKST,7,27,20,34,,,44809.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:30:00.000Z
2025_CFB_W01_FCS2210_DUKE,17,45,28,62,,,15677.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-28T23:30:00.000Z
2025_CFB_W01_FCS2617_HOU,0,27,27,27,,,28150.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T00:00:00.000Z
2025_CFB_W01_BUF_MINN,10,23,13,33,,,47774.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T00:00:00.000Z
2025_CFB_W01_FCS2011_UAB,42,52,10,94,,,26294.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T00:30:00.000Z
2025_CFB_W01_MOH_WIS,0,17,17,17,,,65952.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T01:00:00.000Z
2025_CFB_W01_NEB_CIN,20,17,-3,37,,,72884.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T01:00:00.000Z
2025_CFB_W01_FCS2619_SDSU,0,42,42,42,,,20624.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T02:00:00.000Z
2025_CFB_W01_FCS2627_ARMY,30,27,-3,57,,,23032.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T22:00:00.000Z
2025_CFB_W01_FCS2065_FIU,9,42,33,51,,,18034.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T23:00:00.000Z
2025_CFB_W01_APP_CLT,34,11,-23,45,,,35718.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T23:00:00.000Z
2025_CFB_W01_WMU_MSU,6,23,17,29,,,71657.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T23:00:00.000Z
2025_CFB_W01_KENN_WAKE,9,10,1,19,,,30789.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T23:00:00.000Z
2025_CFB_W01_FCS2710_ILL,3,52,49,55,,,56040.0,cfbd,2026-09-05T19:25:52.133483+00:00,2025-08-29T23:30:00.000Z
