game_id,away_score,home_score,margin_home,total,went_overtime,q_scores,attendance,source,retrieved_at,effective_at
2021_NFL_W01_DAL_TB,29,31,2,60,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-09T00:00:00
2021_NFL_W01_PHI_ATL,32,6,-26,38,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_PIT_BUF,23,16,-7,39,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_NYJ_CAR,14,19,5,33,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_MIN_CIN,24,27,3,51,True,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_SF_DET,41,33,-8,74,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_JAX_HOU,21,37,16,58,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_SEA_IND,28,16,-12,44,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_ARI_TEN,38,13,-25,51,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_LAC_WAS,20,16,-4,36,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_CLE_KC,29,33,4,62,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_MIA_NE,17,16,-1,33,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_GB_NO,3,38,35,41,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_DEN_NYG,27,13,-14,40,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_CHI_LAR,14,34,20,48,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-12T00:00:00
2021_NFL_W01_BAL_LV,27,33,6,60,True,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-13T00:00:00
2021_NFL_W02_NYG_WAS,29,30,1,59,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-16T00:00:00
2021_NFL_W02_NO_CAR,7,26,19,33,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_CIN_CHI,17,20,3,37,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_HOU_CLE,21,31,10,52,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_LAR_IND,27,24,-3,51,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_DEN_JAX,23,13,-10,36,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_BUF_MIA,35,0,-35,35,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_NE_NYJ,25,6,-19,31,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_SF_PHI,17,11,-6,28,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_LV_PIT,26,17,-9,43,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_MIN_ARI,33,34,1,67,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_ATL_TB,25,48,23,73,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_DAL_LAC,20,17,-3,37,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_TEN_SEA,33,30,-3,63,True,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_KC_BAL,35,36,1,71,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-19T00:00:00
2021_NFL_W02_DET_GB,17,35,18,52,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-20T00:00:00
2021_NFL_W03_CAR_HOU,24,9,-15,33,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-23T00:00:00
2021_NFL_W03_WAS_BUF,21,43,22,64,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_CHI_CLE,6,26,20,32,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_BAL_DET,19,17,-2,36,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_ARI_JAX,31,19,-12,50,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_LAC_KC,30,24,-6,54,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_NO_NE,28,13,-15,41,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_ATL_NYG,17,14,-3,31,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_CIN_PIT,24,10,-14,34,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_IND_TEN,16,25,9,41,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_NYJ_DEN,0,26,26,26,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_MIA_LV,28,31,3,59,True,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_TB_LAR,24,34,10,58,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_SEA_MIN,17,30,13,47,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_GB_SF,30,28,-2,58,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-26T00:00:00
2021_NFL_W03_PHI_DAL,21,41,20,62,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-27T00:00:00
2021_NFL_W04_JAX_CIN,21,24,3,45,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-09-30T00:00:00
2021_NFL_W04_WAS_ATL,34,30,-4,64,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_HOU_BUF,0,40,40,40,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_DET_CHI,14,24,10,38,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_CAR_DAL,28,36,8,64,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_IND_MIA,27,17,-10,44,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_CLE_MIN,14,7,-7,21,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_NYG_NO,27,21,-6,48,True,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_TEN_NYJ,24,27,3,51,True,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_KC_PHI,42,30,-12,72,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_ARI_LAR,37,20,-17,57,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_SEA_SF,28,21,-7,49,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_BAL_DEN,23,7,-16,30,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
2021_NFL_W04_PIT_GB,17,27,10,44,False,,,nflverse,2026-09-02T18:07:23.151573+00:00,2021-10-03T00:00:00
