injury_row_id,league,season,week,game_id,team_id,player_id,position,depth_slot,status,practice_status,injury_desc,report_date,source,entered_by,retrieved_at,effective_at,player_name
NFL_NE_00-0036981_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_NE,NFL_P_00-0036981,DL,,UNKNOWN,DNP,Knee,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_NE_00-0037413_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_NE,NFL_P_00-0037413,OL,,UNKNOWN,DNP,Knee,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_NE_00-0040734_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_NE,NFL_P_00-0040734,RB,,UNKNOWN,DNP,Ankle,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_SEA_00-0036363_2026W01_NA_LP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_SEA,NFL_P_00-0036363,OL,,UNKNOWN,LP,Knee,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_SEA_00-0038765_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_SEA,NFL_P_00-0038765,S,,UNKNOWN,DNP,Hamstring,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_SEA_00-0039020_2026W01_NA_LP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_SEA,NFL_P_00-0039020,OL,,UNKNOWN,LP,Knee,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_SEA_00-0040648_2026W01_NA_LP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_SEA,NFL_P_00-0040648,WR,,UNKNOWN,LP,Hamstring,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_SEA_00-0040733_2026W01_NA_LP,NFL,2026,1,2026_NFL_W01_NE_SEA,NFL_SEA,NFL_P_00-0040733,S,,UNKNOWN,LP,Ankle,2026-09-09,nflverse,,2026-09-08T14:03:07.538916+00:00,2026-09-09T00:00:00,
NFL_LAR_00-0031388_2026W01_NA_LP,NFL,2026,1,2026_NFL_W01_SF_LAR,NFL_LAR,NFL_P_00-0031388,EDGE,,UNKNOWN,LP,Not injury related - resting player,2026-09-10,nflverse,,2026-09-10T11:08:01.919541+00:00,2026-09-10T00:00:00,
NFL_LAR_00-0033110_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_SF_LAR,NFL_LAR,NFL_P_00-0033110,TE,,UNKNOWN,DNP,Not injury related - resting player,2026-09-10,nflverse,,2026-09-10T11:08:01.919541+00:00,2026-09-10T00:00:00,
NFL_LAR_00-0033868_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_SF_LAR,NFL_LAR,NFL_P_00-0033868,LB,,UNKNOWN,DNP,Knee,2026-09-10,nflverse,,2026-09-10T11:08:01.919541+00:00,2026-09-10T00:00:00,
NFL_LAR_00-0036603_2026W01_NA_DNP,NFL,2026,1,2026_NFL_W01_SF_LAR,NFL_LAR,NFL_P_00-0036603,OL,,UNKNOWN,DNP,Not injury related - resting player,2026-09-10,nflverse,,2026-09-10T11:08:01.919541+00:00,2026-09-10T00:00:00,
NFL_LAR_00-0036672_2026W01_NA_LP,NFL,2026,1,2026_NFL_W01_SF_LAR,NFL_LAR,NFL_P_00-0036672,LB,,UNKNOWN,LP,Hamstring,2026-09-10,nflverse,,2026-09-10T11:08:01.919541+00:00,2026-09-10T00:00:00,
